2020-02-11/21:44:00		Error while creating table: no such column: F 
2020-02-12/18:18:36		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:36		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:36		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:37		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:38		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:39		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:40		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:41		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:42		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:43		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:43		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:43		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:43		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:43		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:43		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:43		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:43		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:43		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:43		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:43		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:43		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:44		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:45		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:46		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:47		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:48		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:49		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:50		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:51		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112003.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:52		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:53		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:54		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:55		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:56		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:57		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:58		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:59		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:59		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:59		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:59		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:59		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:59		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:59		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
2020-02-12/18:18:59		 hypothyroid_0211198_0102062112004.csv: File loaded successfully!!
